Usia,Kategori,Genre,Banyak halaman,Bahasa,Rekomendasi Buku
7+,Fiksi,Komedi,100-300,ENG,Diary of a Wimpy Kid
7+,Fiksi,Komedi,300+,IND,Buku Tidak Ditemukan
7+,Fiksi,Komedi,300+,ENG,Wimpy Kid: The Meltdown
7+,Nonfiksi,Sejarah,<100,IND,Ayo Mengenal Sejarah Peninggalan Islam
7+,Nonfiksi,Sejarah,<100,ENG,Who Was George Washington?
7+,Nonfiksi,Sejarah,100-300,IND,100 Adegan Sejarah Perang Dunia
7+,Nonfiksi,Sejarah,100-300,ENG,A Little History of the World
7+,Nonfiksi,Sejarah,300+,IND,Babon Sejarah Dunia
7+,Nonfiksi,Sejarah,300+,ENG,The History of the World
7+,Nonfiksi,Sains,<100,IND,99 Percobaan Sehari-hari
7+,Nonfiksi,Sains,<100,ENG,National Geographic Little Kids First Big Book of Science
7+,Nonfiksi,Sains,100-300,IND,Aku Suka Sains: Tubuh Manusia
7+,Nonfiksi,Sains,100-300,ENG,The Science Book: Big Ideas Simply Explained
7+,Nonfiksi,Sains,300+,IND,Buku Pintar Sains dan Eksperimen Untuk Anak
7+,Nonfiksi,Sains,300+,ENG,How Things Work: The Physics of Everyday Life
7+,Nonfiksi,Biografi,<100,IND,Buku tidak ditemukan
7+,Nonfiksi,Biografi,<100,ENG,I Am Amelia Earhart 
7+,Nonfiksi,Biografi,100-300,IND,Buku tidak ditemukan
7+,Nonfiksi,Biografi,100-300,ENG,Who Was Amelia Earhart?
7+,Nonfiksi,Biografi,300+,IND,Buku tidak ditemukan
7+,Nonfiksi,Biografi,300+,ENG,The Story of Martin Luther King Jr
7+,Nonfiksi,Inspiratif,<100,IND,"Aku Anak Pemberani, Percaya Diri, dan Mandiri"
7+,Nonfiksi,Inspiratif,<100,ENG,I Am Albert Einstein oleh Brad Meltzer
7+,Nonfiksi,Inspiratif,100-300,IND,Jangan Menyerah
7+,Nonfiksi,Inspiratif,100-300,ENG,Good Night Stories for Rebel Girls
7+,Nonfiksi,Inspiratif,300+,IND,Buku tidak ditemukan
7+,Nonfiksi,Inspiratif,300+,ENG,The Diary of a Young Girl
7+,Nonfiksi,Ekonomi,<100,IND,Buku tidak ditemukan
7+,Nonfiksi,Ekonomi,<100,ENG,If You Made a Million
7+,Nonfiksi,Ekonomi,100-300,IND,Buku tidak ditemukan
7+,Nonfiksi,Ekonomi,100-300,ENG,The Four Money Bears
7+,Nonfiksi,Ekonomi,300+,IND,Buku tidak ditemukan
7+,Nonfiksi,Ekonomi,300+,ENG,Smart Money Smart Kids
7+,Nonfiksi,Kesehatan,<100,IND,Aku Anak Sehat
7+,Nonfiksi,Kesehatan,<100,ENG,It's Perfectly Normal
7+,Nonfiksi,Kesehatan,100-300,IND,Buku tidak ditemukan
7+,Nonfiksi,Kesehatan,100-300,ENG,The Human Body Book for Kids
7+,Nonfiksi,Kesehatan,300+,IND,Buku tidak ditemukan
7+,Nonfiksi,Kesehatan,300+,ENG,The Way We Work
13+,Fiksi,Fantasi,<100,IND,Buku tidak ditemukan
13+,Fiksi,Fantasi,<100,ENG,The Little Prince
13+,Fiksi,Fantasi,100-300,IND,Mata di Tanah Melus
13+,Fiksi,Fantasi,100-300,ENG,The Blue Sword
13+,Fiksi,Fantasi,300+,IND,"Supernova: Ksatria, Puteri, dan Bintang Jatuh"
13+,Fiksi,Fantasi,300+,ENG,Percy Jackson & the Olympians: The Lightning Thief
13+,Fiksi,Aksi,<100,IND,Buku tidak ditemukan
13+,Fiksi,Aksi,<100,ENG,Buku tidak ditemukan
13+,Fiksi,Aksi,100-300,IND,Bumi – Tere Liye
13+,Fiksi,Aksi,100-300,ENG,The Maze Runner
13+,Fiksi,Aksi,300+,IND,Negeri 5 Menara
13+,Fiksi,Aksi,300+,ENG,The Hunger Games
13+,Fiksi,Misteri,<100,IND,Buku tidak ditemukan
13+,Fiksi,Misteri,<100,ENG,Buku tidak ditemukan
13+,Fiksi,Misteri,100-300,IND,Rumah Lebah
13+,Fiksi,Misteri,100-300,ENG,One of Us Is Lying
13+,Fiksi,Misteri,300+,IND,24 Jam Bersama Gaspar
13+,Fiksi,Misteri,300+,ENG,Good Girl's Guide to Murder
13+,Fiksi,Horror,<100,IND,Misteri Rumah Kosong
13+,Fiksi,Horror,<100,ENG,Reading at Night
13+,Fiksi,Horror,100-300,IND,Laknat
13+,Fiksi,Horror,100-300,ENG,Come Closer
13+,Fiksi,Horror,300+,IND,Gerbang Dialog Danur
13+,Fiksi,Horror,300+,ENG,The Broken Girls
13+,Fiksi,Romantis,<100,IND,Buku tidak ditemukan
13+,Fiksi,Romantis,<100,ENG,Buku tidak ditemukan
13+,Fiksi,Romantis,100-300,IND,Ada Apa dengan Cinta?
13+,Fiksi,Romantis,100-300,ENG,Flipped
13+,Fiksi,Romantis,300+,IND,London: Love Story
13+,Fiksi,Romantis,300+,ENG,To All the Boys I’ve Loved Before
13+,Fiksi,Komedi,<100,IND,Buku tidak ditemukan
13+,Fiksi,Komedi,<100,ENG,Buku tidak ditemukan
13+,Fiksi,Komedi,100-300,IND,Kambing Jantan
13+,Fiksi,Komedi,100-300,ENG,Diary of a Wimpy Kid
13+,Fiksi,Komedi,300+,IND,Kambing Jantan: Sebuah Catatan Harian Pelajar Bodoh
13+,Fiksi,Komedi,300+,ENG,An Abundance of Katherines
13+,Nonfiksi,Sejarah,<100,IND,Buku tidak ditemukan
13+,Nonfiksi,Sejarah,<100,ENG,Buku tidak ditemukan
13+,Nonfiksi,Sejarah,100-300,IND,Sejarah Indonesia Modern 1200–2008 – Sutan Takdir Alisjahbana
13+,Nonfiksi,Sejarah,100-300,ENG,A Little History of the World
13+,Nonfiksi,Sejarah,300+,IND,Sejarah Indonesia Modern – M.C. Ricklefs
13+,Nonfiksi,Sejarah,300+,ENG,A People's History of the United States
13+,Nonfiksi,Sains,<100,IND,Buku tidak ditemukan
13+,Nonfiksi,Sains,<100,ENG,Seven Brief Lessons on Physic
13+,Nonfiksi,Sains,100-300,IND,Dasar-Dasar Ekologi – E.P. Odum
13+,Nonfiksi,Sains,100-300,ENG,Sapiens: A Brief History of Humankind (Young Readers Edition) 
13+,Nonfiksi,Sains,300+,IND,Sainspedia 
13+,Nonfiksi,Sains,300+,ENG,Cosmos – Carl Sagan
13+,Nonfiksi,Biografi,<100,IND,Buku tidak ditemukan
13+,Nonfiksi,Biografi,<100,ENG,Buku tidak ditemukan
13+,Nonfiksi,Biografi,100-300,IND,Dari Cendana ke Reformasi: Biografi B.J. Habibie
13+,Nonfiksi,Biografi,100-300,ENG,Malala Yousafzai: Warrior with Words
13+,Nonfiksi,Biografi,300+,IND,Tan Malaka: Sebuah Biografi Lengkap - Masykur Arif Rahman
13+,Nonfiksi,Biografi,300+,ENG,Becoming – Michelle Obama
13+,Nonfiksi,Inspiratif,<100,IND,Sumur - Eka Kurniawan
13+,Nonfiksi,Inspiratif,<100,ENG,Malala's Magic Pencil
13+,Nonfiksi,Inspiratif,100-300,IND,Catatan Juang
13+,Nonfiksi,Inspiratif,100-300,ENG,Dare to Be You - Matthew Syed
13+,Nonfiksi,Inspiratif,300+,IND,Loving the Wounded Soul
13+,Nonfiksi,Inspiratif,300+,ENG,Born a Crime: Stories from a South African Childhood
13+,Nonfiksi,Ekonomi,<100,IND,Buku tidak ditemukan
13+,Nonfiksi,Ekonomi,<100,ENG,Buku tidak ditemukan
13+,Nonfiksi,Ekonomi,100-300,IND,Buku tidak ditemukan
13+,Nonfiksi,Ekonomi,100-300,ENG,Rich Dad Poor Dad for Teens
13+,Nonfiksi,Ekonomi,300+,IND,Ekonomi Pembangunan
13+,Nonfiksi,Ekonomi,300+,ENG,Buku tidak ditemukan
13+,Nonfiksi,Kesehatan,<100,IND,Kenali Kesehatan Remaja
13+,Nonfiksi,Kesehatan,<100,ENG,Buku tidak ditemukan
13+,Nonfiksi,Kesehatan,100-300,IND,Buku tidak ditemukan
13+,Nonfiksi,Kesehatan,100-300,ENG,Mind Your Head: A Guide to Mental Health for Teens
13+,Nonfiksi,Kesehatan,300+,IND,Gizi Anak dan Remaja
13+,Nonfiksi,Kesehatan,300+,ENG,The Body: A Guide for Occupants
17+,Fiksi,Fantasi,<100,IND,Buku tidak ditemukan
17+,Fiksi,Fantasi,<100,ENG,Buku tidak ditemukan
17+,Fiksi,Fantasi,100-300,IND,Rembulan Tenggelam di Wajahmu
17+,Fiksi,Fantasi,100-300,ENG,Coraline
17+,Fiksi,Fantasi,300+,IND,Negeri Para Bedebah
17+,Fiksi,Fantasi,300+,ENG,Mistborn: The Final Empire
17+,Fiksi,Aksi,<100,IND,Buku tidak ditemukan
17+,Fiksi,Aksi,<100,ENG,Buku tidak ditemukan
17+,Fiksi,Aksi,100-300,IND,Hanya Manusia Biasa
17+,Fiksi,Aksi,100-300,ENG,Scorpia Rising
17+,Fiksi,Aksi,300+,IND,Jejak
17+,Fiksi,Aksi,300+,ENG,Ready Player One
17+,Fiksi,Misteri,<100,IND,Buku tidak ditemukan
17+,Fiksi,Misteri,<100,ENG,Means of Evil and Other Stories
17+,Fiksi,Misteri,100-300,IND,Pembunuhan di Kamar 3
17+,Fiksi,Misteri,100-300,ENG,Sharp Objects
17+,Fiksi,Misteri,300+,IND,Dilarang Mencintai Bunga-Bunga
17+,Fiksi,Misteri,300+,ENG,The Silent Patient
17+,Fiksi,Horror,<100,IND,Arwah
17+,Fiksi,Horror,<100,ENG,Memorials
17+,Fiksi,Horror,100-300,IND,Mereka Sudah Mati
17+,Fiksi,Horror,100-300,ENG,Misery
17+,Fiksi,Horror,300+,IND,Journal of Terror
17+,Fiksi,Horror,300+,ENG,A Head Full Of Ghost
17+,Fiksi,Romantis,<100,IND,Sepotong Senja untuk Pacarku
17+,Fiksi,Romantis,<100,ENG,The Gift of the Magi
17+,Fiksi,Romantis,100-300,IND,Perahu Kertas 
17+,Fiksi,Romantis,100-300,ENG,Eleanor & Park
17+,Fiksi,Romantis,300+,IND,Dilan 1990
17+,Fiksi,Romantis,300+,ENG,Me Before You
17+,Fiksi,Komedi,<100,IND,Cinta Brontosaurus
17+,Fiksi,Komedi,<100,ENG,Three Men in a Boat (short excerpt)
17+,Fiksi,Komedi,100-300,IND,Marmut Merah Jambu
17+,Fiksi,Komedi,100-300,ENG,Good Omens
17+,Fiksi,Komedi,300+,IND,Koala Kumal 
17+,Fiksi,Komedi,300+,ENG,Catch-22
17+,Nonfiksi,Sejarah,<100,IND,Sejarah Dunia yang Disembunyikan
17+,Nonfiksi,Sejarah,<100,ENG,A Short History of Nearly Everything
17+,Nonfiksi,Sejarah,100-300,IND,Napoleon dari Tanah Seberang
17+,Nonfiksi,Sejarah,100-300,ENG,"Guns, Germs, and Steel"
17+,Nonfiksi,Sejarah,300+,IND,Indonesia Menggugat
17+,Nonfiksi,Sejarah,300+,ENG,Sapiens
17+,Nonfiksi,Sains,<100,IND,Fisika Itu Asyik!
17+,Nonfiksi,Sains,<100,ENG,Astrophysics for People in a Hurry
17+,Nonfiksi,Sains,100-300,IND,Melawan Takdir – Agus Purwanto
17+,Nonfiksi,Sains,100-300,ENG,Brief Answers to the Big Questions
17+,Nonfiksi,Sains,300+,IND,"Berpikir, Cepat dan Lambat"
17+,Nonfiksi,Sains,300+,ENG,The Selfish Gene
17+,Nonfiksi,Biografi,<100,IND,Hatta: Jejak yang Melampaui Zaman
17+,Nonfiksi,Biografi,<100,ENG,Who Was Albert Einstein?
17+,Nonfiksi,Biografi,100-300,IND,Habibie & Ainun
17+,Nonfiksi,Biografi,100-300,ENG,Steve Jobs 
17+,Nonfiksi,Biografi,300+,IND,Soekarno: Biografi Politik
17+,Nonfiksi,Biografi,300+,ENG,Becoming – Michelle Obama
17+,Nonfiksi,Inspiratif,<100,IND,"Hidup Sekali, Berarti Lalu Mati"
17+,Nonfiksi,Inspiratif,<100,ENG,Make Your Bed
17+,Nonfiksi,Inspiratif,100-300,IND,Sebuah Seni untuk Bersikap Bodo Amat
17+,Nonfiksi,Inspiratif,100-300,ENG,The Alchemist – Paulo Coelho
17+,Nonfiksi,Inspiratif,300+,IND,Laskar Pelangi
17+,Nonfiksi,Inspiratif,300+,ENG,The 7 Habits of Highly Effective People 
17+,Nonfiksi,Ekonomi,<100,IND,Ekonomi Kerakyatan
17+,Nonfiksi,Ekonomi,<100,ENG,Economics in One Lesson
17+,Nonfiksi,Ekonomi,100-300,IND,Rich Dad Poor Dad
17+,Nonfiksi,Ekonomi,100-300,ENG,Freakonomics
17+,Nonfiksi,Ekonomi,300+,IND,Perekonomi Indonesia: Mau ke Mana? – Faisal Basri
17+,Nonfiksi,Ekonomi,300+,ENG,Capital in the Twenty-First Century
17+,Nonfiksi,Kesehatan,<100,IND,Sehat Itu Murah Kalau Tahu Caranya
17+,Nonfiksi,Kesehatan,<100,ENG,Why We Sleep (short summary) 
17+,Nonfiksi,Kesehatan,100-300,IND,Problema Seks dan Solusinya For Teens
17+,Nonfiksi,Kesehatan,100-300,ENG,The Body: A Guide for Occupants 
17+,Nonfiksi,Kesehatan,300+,IND,Hidup Sehat Ala Nabi
17+,Nonfiksi,Kesehatan,300+,ENG,How Not to Die
21+,Fiksi,Fantasi,<100,IND,Legenda Legundi – W.S. Rendra
21+,Fiksi,Fantasi,<100,ENG,The Hobbit (abridged)
21+,Fiksi,Fantasi,100-300,IND,Bumi – Tere Liye
21+,Fiksi,Fantasi,100-300,ENG,The Ocean at the End of the Lane – Neil Gaiman
21+,Fiksi,Fantasi,300+,IND,Negeri Para Bedebah
21+,Fiksi,Fantasi,300+,ENG,Harry Potter and the Goblet of Fire
21+,Fiksi,Aksi,<100,IND,Mata dan Rahasia Pulau Gapi
21+,Fiksi,Aksi,<100,ENG,The Most Dangerous Game
21+,Fiksi,Aksi,100-300,IND,5 cm
21+,Fiksi,Aksi,100-300,ENG,Jack Reacher: Killing Floor
21+,Fiksi,Aksi,300+,IND,Supernova: Akar 
21+,Fiksi,Aksi,300+,ENG,The Bourne Identity
21+,Fiksi,Misteri,<100,IND,Detektif Conan
21+,Fiksi,Misteri,<100,ENG,The Murders in the Rue Morgue
21+,Fiksi,Misteri,100-300,IND,Rahasia Meede
21+,Fiksi,Misteri,100-300,ENG,The Girl on the Train 
21+,Fiksi,Misteri,300+,IND,Jakarta Sebelum Pagi 
21+,Fiksi,Misteri,300+,ENG,Gone Girl
21+,Fiksi,Horror,<100,IND,Misteri Rumah Tua
21+,Fiksi,Horror,<100,ENG,The Monkey's Paw
21+,Fiksi,Horror,100-300,IND,Danur
21+,Fiksi,Horror,100-300,ENG,Caroline
21+,Fiksi,Horror,300+,IND,Mata Malaikat
21+,Fiksi,Horror,300+,ENG,The Shining
21+,Fiksi,Romantis,<100,IND,Sepotong Hati yang Baru
21+,Fiksi,Romantis,<100,ENG,The Notebook (excerpt) – Nicholas Sparks
21+,Fiksi,Romantis,100-300,IND,Critical Eleven
21+,Fiksi,Romantis,100-300,ENG,Me Before You 
21+,Fiksi,Romantis,300+,IND,Antologi Rasa
21+,Fiksi,Romantis,300+,ENG,Outlander
21+,Fiksi,Komedi,<100,IND,Ngomongin Hidup ala Raditya Dika
21+,Fiksi,Komedi,<100,ENG,Bossypants (excerpt)
21+,Fiksi,Komedi,100-300,IND,Manusia Setengah Salmon
21+,Fiksi,Komedi,100-300,ENG,"The Secret Diary of Adrian Mole, Aged 13¾"
21+,Fiksi,Komedi,300+,IND,Cinta Brontosaurus
21+,Fiksi,Komedi,300+,ENG,The Hitchhiker’s Guide to the Galaxy 
21+,Nonfiksi,Sejarah,<100,IND,Sejarah Peradaban Dunia
21+,Nonfiksi,Sejarah,<100,ENG,A Little History of the World 
21+,Nonfiksi,Sejarah,100-300,IND,Api Sejarah
21+,Nonfiksi,Sejarah,100-300,ENG,A History of the World in 6 Glasses
21+,Nonfiksi,Sejarah,300+,IND,Indonesia dalam Arus Sejarah 
21+,Nonfiksi,Sejarah,300+,ENG,Postwar: A History of Europe Since 1945
21+,Nonfiksi,Sains,<100,IND,Fisika untuk Kehidupan Sehari-hari
21+,Nonfiksi,Sains,<100,ENG,Brief Answers to the Big Questions (excerpt) 
21+,Nonfiksi,Sains,100-300,IND,Ilmu Pengetahuan Populer 
21+,Nonfiksi,Sains,100-300,ENG,The Tell-Tale Brain
21+,Nonfiksi,Sains,300+,IND,Mikrokosmos: Kehidupan Tak Terlihat di Sekitar Kita
21+,Nonfiksi,Sains,300+,ENG,The Gene: An Intimate History 
21+,Nonfiksi,Biografi,<100,IND,Bung Hatta: Pribadi & Pemikirannya
21+,Nonfiksi,Biografi,<100,ENG,I Am Malala
21+,Nonfiksi,Biografi,100-300,IND,Tan Malaka: Bapak Republik yang Dilupakan
21+,Nonfiksi,Biografi,100-300,ENG,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future "
21+,Nonfiksi,Biografi,300+,IND,Rudy: Kisah Hidup Seorang Visioner
21+,Nonfiksi,Biografi,300+,ENG,Leonardo da Vinci 
21+,Nonfiksi,Inspiratif,<100,IND,Filosofi Teras (Edisi Ringkas)
21+,Nonfiksi,Inspiratif,<100,ENG,The Last Lecture (Short Version)
21+,Nonfiksi,Inspiratif,100-300,IND,Berani Tidak Disukai 
21+,Nonfiksi,Inspiratif,100-300,ENG,The Four Agreements 
21+,Nonfiksi,Inspiratif,300+,IND,Atomic Habits 
21+,Nonfiksi,Inspiratif,300+,ENG,Man's Search for Meaning
21+,Nonfiksi,Ekonomi,<100,IND,Panduan UMKM Sukses
21+,Nonfiksi,Ekonomi,<100,ENG,The Psychology of Money (Mini Guide) 
21+,Nonfiksi,Ekonomi,100-300,IND,100 Langkah untuk Tidak Miskin
21+,Nonfiksi,Ekonomi,100-300,ENG,Naked Economics – Charles Wheelan
21+,Nonfiksi,Ekonomi,300+,IND,Ekonomi Indonesia: Dalam Lintasan Sejarah 
21+,Nonfiksi,Ekonomi,300+,ENG,"Debt: The First 5,000 Years"
21+,Nonfiksi,Kesehatan,<100,IND,Panduan Gizi Seimbang – Kemenkes RI
21+,Nonfiksi,Kesehatan,<100,ENG,Healthy Eating Made Simple
21+,Nonfiksi,Kesehatan,100-300,IND,Problema Seks dan Solusinya
21+,Nonfiksi,Kesehatan,100-300,ENG,The Blue Zones 
21+,Nonfiksi,Kesehatan,300+,IND,Kesehatan Reproduksi untuk Dewasa
21+,Nonfiksi,Kesehatan,300+,ENG,Nutrition and Physical Degeneration
